"Respondent.Serial";"Respondent.Serial.SourceFile";"Respondent.Origin (1/6)";"Respondent.Origin (2/6)";"Respondent.Origin (3/6)";"Respondent.Origin (4/6)";"Respondent.Origin (5/6)";"Respondent.Origin (6/6)";"Respondent.Origin.Other";"Respondent.ID";"DataCollection.Status (1/9)";"DataCollection.Status (2/9)";"DataCollection.Status (3/9)";"DataCollection.Status (4/9)";"DataCollection.Status (5/9)";"DataCollection.Status (6/9)";"DataCollection.Status (7/9)";"DataCollection.Status (8/9)";"DataCollection.Status (9/9)";"DataCollection.InterviewerID";"DataCollection.StartTime";"DataCollection.FinishTime";"DataCollection.MetadataVersionNumber";"DataCollection.MetadataVersionGUID";"DataCollection.RoutingContext";"DataCollection.Variant";"DataCollection.EndQuestion";"DataCollection.TerminateSignal";"DataCollection.SeedValue";"DataCollection.InterviewEngine";"DataCollection.CurrentPage";"DataCollection.Debug";"DataCollection.ServerTimeZone";"DataCollection.InterviewerTimeZone";"DataCollection.RespondentTimeZone";"DataCollection.BatchID";"DataCollection.BatchName";"DataCollection.DataEntryMode";"DataCollection.Removed";"DataCleaning.Note";"DataCleaning.Status (1/2)";"DataCleaning.Status (2/2)";"DataCleaning.ReviewStatus (1/4)";"DataCleaning.ReviewStatus (2/4)";"DataCleaning.ReviewStatus (3/4)";"DataCleaning.ReviewStatus (4/4)";"PA";"PB";"P1_1";"P1_1.R96";"P1_T (1/10)";"P1_T (2/10)";"P1_T (3/10)";"P1_T (4/10)";"P1_T (5/10)";"P1_T (6/10)";"P1_T (7/10)";"P1_T (8/10)";"P1_T (9/10)";"P1_T (10/10)";"P1_T.R96";"P2_1";"P2_1.R96";"P2_T (1/10)";"P2_T (2/10)";"P2_T (3/10)";"P2_T (4/10)";"P2_T (5/10)";"P2_T (6/10)";"P2_T (7/10)";"P2_T (8/10)";"P2_T (9/10)";"P2_T (10/10)";"P2_T.R96";"P3";"P3.R96";"P4_1";"P4_2";"P4_3";"P4_4";"P4_5";"P4_6";"P4_7";"P4_8";"P4_9";"P4_96";"P4aCOMP";"P5";"P5.R96";"P6";"P6aCOMP";"P6a2COMP";"P6aAnos";"P6a";"P6aDias";"P8COMP";"P8COMP.R96";"P9COMP";"P10COMP";"P11COMP";"P12COMP";"P10";"P13aCOMP";"P13bCOMP";"P11[{R1}].escala";"P11[{R2}].escala";"P11[{R3}].escala";"P11[{R4}].escala";"P11[{R5}].escala";"P11[{R6}].escala";"P11[{R7}].escala";"P11[{R8}].escala";"P13aCOMP2";"P13bCOMP2";"P17[{R1}].escala";"P17[{R2}].escala";"P17[{R3}].escala";"P17[{R4}].escala";"P17[{R5}].escala";"P17[{R6}].escala";"P17[{R7}].escala";"P17[{R8}].escala";"P18[{R01}].escala";"P18[{R02}].escala";"P18[{R03}].escala";"P18[{R04}].escala";"P18[{R05}].escala";"P18[{R06}].escala";"P18[{R07}].escala";"P18[{R08}].escala";"P18[{R09}].escala";"P18[{R10}].escala";"P18[{R11}].escala";"P18[{R12}].escala";"P18[{R13}].escala";"P18[{R14}].escala";"P18[{R15}].escala";"P18[{R16}].escala";"P18[{R17}].escala";"P18[{R18}].escala";"P18[{R19}].escala";"D1";"D2";"D3";"D3.R96";"D4";"D4.R96";"EDJF";"AUTO";"HABI";"BANO";"BOIL";"FOCO";"NSE_Final";"USUARIOS";"NUSUARIOS (1/3)";"NUSUARIOS (2/3)";"NUSUARIOS (3/3)"
4581;;3;;;;;;;13395;1;;;;;;;;;"1023hernandezangelica031404";"2015-10-09 18:23:41";"2015-10-09 18:37:16";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1757507154;"IOM 6.0";35;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;95;;;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;95;;;;"PORQUE ES EL UNICO QUE TENGO";1;0;0;97;;;"PORQUE NO HAY COBERTURA EN MI PUEBLO .";1;"SI HAY BUENAS BENTAJAS .";5;4;"COBERTURA";2;2;2;2;2;1;1;2;4;"PORQUE PARA PROBAR UTRAS";2;1;1;1;2;2;1;1;7;7;6;7;7;7;6;7;7;7;7;7;7;6;7;7;7;7;6;4;2;2;;4;;10;1;4;1;1;7;1;"3 Telcel";1;;
4668;;3;;;;;;;10667;1;;;;;;;;;"1521sepulvedadarwin071503";"2015-10-09 18:27:48";"2015-10-09 18:41:07";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1757259705;"IOM 6.0";35;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;6;7;8;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;95;;;;"ME OFRECIERON UN PLAN DE 200 Y ME CONVIENE ESE PLAN";6;0;998;3;;"MANEJAN UNA PROMOCIO0N DE 100 Y TE DAN 500 MINUTOS";;2;"EN EL ESTADO DE DURANGO NO HAY MUCHO UNEFON";4;3;"NO CONOZCO EL SERVICIO";2;4;4;4;2;4;1;3;3;"POR AHORRAR";2;4;2;4;1;1;2;2;9;9;6;9;9;6;9;9;9;9;9;9;9;9;9;6;6;9;9;4;1;1;;96;"AGENTE DE VENTAS";11;1;6;3;1;20;1;"3 Telcel";1;;
4675;;3;;;;;;;13184;1;;;;;;;;;"1600lujanana101504";"2015-10-09 18:28:02";"2015-10-09 18:42:39";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1757245992;"IOM 6.0";37;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;5;6;7;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;1;;"NUNCA DEJO TELCEL";"NUNCA LO DEJO SIEMPRE LE HA GUSTADO";"SIEMPRE LE HA GUSTADO SUS PLANES Y BENEFICIOS";4;98;998;3;;"MUY BUENOS BENEFICIOS";;2;"NO ME GUSTAN SU PLAN";4;1;"TENGO MUCHO TIEMPO CON TELCEL";3;3;4;4;1;3;3;3;1;"TENGO MUCHO TIEMPO CON TELCEL NO LE HA GUSTADO";3;3;3;3;3;3;3;3;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;3;1;2;;1;;9;2;2;1;1;4;4;"3 Telcel";1;;
4694;;3;;;;;;;31176;1;;;;;;;;;"3103lopezmegan";"2015-10-09 18:28:50";"2015-10-09 18:44:28";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1757197632;"IOM 6.0";35;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;6;;;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;95;;;;"yo salgo mucho para la cierra y es el único que agarra cobertura alla";998;98;998;97;;;"por eso... tengo a mi familia muy lejos en ranchos y es el único que agarra señal por allá, mis sobrinos tienen movistar y cuando van para alla no pueden usar el teléfono, no hay cobertura";2;"yo siempre e tendo telcel";4;1;"nunca, no me intereza cambiarme siempre he estado con telcel y ahí me quedo";4;4;2;4;4;2;4;2;1;"no me intereza ninguna otra compañia";4;4;2;4;2;2;4;2;7;7;9;9;9;7;9;9;9;7;9;9;9;9;9;9;9;9;7;5;2;96;"rehuso";96;"rehuso";14;3;98;5;3;98;9;"3 Telcel";1;;
4710;;3;;;;;;;32765;1;;;;;;;;;"1554alejandreiruby091502";"2015-10-09 18:29:19";"2015-10-09 18:46:11";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1757168631;"IOM 6.0";37;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;95;;;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;1;;"PAGO LO QUE NECESITO";"NOP SABE";"NO SABE";1;98;98;97;;;"LOS PAGOS SON MAS FACILES";2;"NO LO CONOZCO";4;1;"ME SIENTO SATISFECHA CON SU LINEA";2;1;1;1;1;1;1;1;1;"ESTOY AGUSTO CON MI COMPAÑIA";1;1;1;1;1;1;1;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;2;96;"REHUSO";96;"NO CONTESTO";14;3;98;5;3;98;9;"3 Telcel";1;;
4786;;3;;;;;;;17489;1;;;;;;;;;"1610canasgabriela101503";"2015-10-09 18:32:37";"2015-10-09 18:42:22";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1756971493;"IOM 6.0";35;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;95;;;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;95;;;;"ES LA UNICA QUE HAY EN DONDE VIVO";4;98;998;97;;;"CON TELCEL ME SIENTO BIEN";2;"NECESITARIA CONOCERLA A FONDO";4;4;"POR QUE DONDE VIVO NO EXISTE UNEFON";2;4;1;4;1;4;2;5;4;"NO TIENE COBERTURA";1;1;2;1;4;1;4;4;6;6;8;9;9;9;9;9;6;9;9;8;9;9;9;9;6;7;9;3;1;2;;1;;4;1;2;0;2;3;4;"3 Telcel";1;;
4796;;3;;;;;;;26327;1;;;;;;;;;"1158colinfrancisco111401";"2015-10-09 18:33:15";"2015-10-09 18:52:36";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1756932680;"IOM 6.0";35;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;6;;;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;95;;;;"por que tiene mas cobertura y ma beneficios.";8;0;0;3;;"me dan mas plan y beneficios.";;2;"por que no me guzta unefon.";5;2;"por que no.";2;2;2;2;4;2;4;2;4;"por que no imcluye radio ilimitado.";2;2;2;2;2;2;2;2;9;8;9;9;9;6;9;9;9;8;9;8;9;7;9;8;7;8;8;3;1;2;;2;;5;1;4;3;2;34;4;"3 Telcel";1;;
4865;;3;;;;;;;16552;1;;;;;;;;;"1424jimenezfelipe061504";"2015-10-09 18:37:12";"2015-10-09 18:48:23";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1756695917;"IOM 6.0";35;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;6;;;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;95;;;;"me gusta la red por que tiene muchas promociones";2;98;998;3;;"tiene muchas promociones";;1;"tambien unefon es una de las compañias que mantiene muchas promociones";4;4;"por las propmociones que me dan";4;4;5;5;2;4;4;4;4;"me estan dando opciones para mi telefono";5;4;5;5;4;4;5;4;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;3;2;1;;2;;3;2;2;1;2;2;4;"3 Telcel";1;;
4898;;3;;;;;;;16358;1;;;;;;;;;"1582barrerapatricio101503";"2015-10-09 18:39:25";"2015-10-09 19:02:12";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1756563519;"IOM 6.0";36;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;95;;;;;;;;;;;1;;96;;;;;;;;;;"telcel";1;;1;;;;;;;;;;2;95;;;;"por es el mejor servicio";1;6;998;1;;"no se cambiaria";;2;"por no a tenido problemas con telcel";5;2;"por que esta bien con telcel";4;2;2;1;2;4;2;2;1;"or esta bien con telcel";2;2;1;1;2;2;2;4;6;6;7;6;8;7;7;6;6;6;6;7;6;6;9;6;8;7;7;5;2;2;;4;;9;2;99;5;2;99;9;"3 Telcel";1;;
4919;;3;;;;;;;28600;1;;;;;;;;;"1348durangustavo041501";"2015-10-09 18:40:42";"2015-10-09 18:55:11";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1756486299;"IOM 6.0";35;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;5;6;8;;;;;;;;;1;;95;;;;;;;;;;;;;2;;;;;;;;;;2;95;;;;"porque es la que mas tiene señal aqui";10;98;998;97;;;"ese paquete que tengo me ha convencido tiene pagos gratis";2;"porque yo se que sale mas caro y gasta mas saldo";5;1;"no agarra la señal";4;4;2;4;4;5;5;4;1;"no agarra señal";5;4;5;5;4;5;4;4;6;6;6;6;6;6;7;6;6;9;7;6;7;6;6;7;7;6;7;3;1;2;;96;"trabajo en campo";9;2;2;0;2;5;4;"3 Telcel";1;;
4979;;3;;;;;;;21643;1;;;;;;;;;"1601lujannancy101504";"2015-10-09 18:44:27";"2015-10-09 19:00:16";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1756261361;"IOM 6.0";37;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;6;;1;5;7;8;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;1;;"TODO SIEMPRE AMIGO DE TELCEL";"POR QUE TIENE COBERTURA ADONDE QUIERO QUE VOY Y ESTOY MUY AGUSTO CON TELCEL";"POR QUE ME GUSTA TELCEL";6;98;98;96;"NINGUNA";"ESTOY MUY AGUSTO CON TELCEL";;2;"NO ME GUSTA NO TIENE COBERTURA";4;4;"SI TUVIERA LA COBERTURA BIEN SI A MI NO ME BRINDABA COBERTURA";5;4;2;5;2;4;4;2;4;"PR QUE ME GUSTAN SUS PROMOCIONES Y ES ACCSESIBLES";4;2;2;4;4;2;4;4;9;9;9;8;6;9;9;6;9;8;9;8;8;8;8;8;9;6;6;4;2;4;;4;;10;2;2;2;1;7;1;"3 Telcel";1;;
4989;;3;;;;;;;14209;1;;;;;;;;;"1572CARPINTEYROZAIRA091504";"2015-10-09 18:45:14";"2015-10-09 19:26:19";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1756214124;"IOM 6.0";35;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;6;;1;7;8;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;95;;;;"POR QUE ME GUSTA, NO ME GUSTA EL PLAN DE MOVISTAR";11;98;998;3;;"POR LAS PROMOCIONES";;2;"POR QUE NO SE QUE PLANES TRAIGA O PROMOCIONES, Y POCA GENTE LA MANEJA";2;1;"POR QUE UNP CUENTA CON EL DINERO PARA CONTRATARLO";1;1;1;1;1;1;1;1;1;"POR QUE NO ME INTERESA ESA LINEA";1;1;1;1;1;1;1;1;7;7;7;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;3;1;2;;96;"OBRERO";5;2;3;1;2;3;4;"3 Telcel";1;;
5014;;3;;;;;;;12965;1;;;;;;;;;"1412serranoveronica061502";"2015-10-09 18:46:29";"2015-10-09 18:58:59";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1756138838;"IOM 6.0";34;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;7;;95;;;;;;;;;;;96;"TELVEL";95;;;;;;;;;;;;;;;;;;;;;;1;2;95;;;;;3;0;0;2;;"PR EL PLAN QUE TIENEN LO BENEFICIOS";;2;"PORQUE ESTOY AGUSTO";4;4;"POR MLOS VENEFICIOS";2;2;4;2;2;4;4;4;5;"POR LOS QUE CUNTA LOS VOSAS BUENAS";4;4;2;4;2;4;2;4;6;6;6;6;6;7;6;6;6;6;6;8;6;6;8;7;6;6;6;3;1;1;;1;;8;1;7;3;1;24;1;"3 Telcel";1;;
5043;;3;;;;;;;31318;1;;;;;;;;;"1169CHAVEZDIANA121402";"2015-10-09 18:47:45";"2015-10-09 19:09:30";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1756063021;"IOM 6.0";35;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;6;;;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;95;;;;"PARA COMUNICARME CON LA FAMILIA";2;98;998;97;;;"POR QUE ME GUSTO LA COMPAÑIA TELCEL CASI NO QUITAN SALDO Y MOVISTAR SI SE TERMINA LUEGO LUEGO EL SALDO";2;"POR QUE NISIQUIERA CONOSCO ESA COMPAÑIA";4;2;"POR QUE CASI NO CONOSCO ESA Y NO SE SI FUNCIONA BIEN";3;2;4;2;2;1;4;2;2;"POR QUE NO SE SI ME CONVIENE O NO";2;5;2;4;2;2;3;2;9;7;9;7;9;7;9;7;9;9;7;9;9;7;9;9;9;7;9;3;2;96;99;96;99;14;3;99;5;3;99;9;"3 Telcel";1;;
5104;;3;;;;;;;29430;1;;;;;;;;;"1424jimenezfelipe061504";"2015-10-09 18:49:35";"2015-10-09 19:03:43";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1755952619;"IOM 6.0";35;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;95;;;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;95;;;;"por que cuando compre mi celular me dieron esa linea";998;6;998;97;;;"por los numeros gratis";1;"depende de lo que me ofrezcan";3;4;"por los beneficios que me ofreecen";2;1;1;1;3;3;1;1;1;"si ofrecen muchas cosas pero para lo que utilixzo el celular no me beneficia en nada";3;1;1;2;1;1;1;3;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;3;2;96;99;96;99;14;3;99;5;3;99;9;"3 Telcel";1;;
5112;;3;;;;;;;28253;1;;;;;;;;;"1610canasgabriela101503";"2015-10-09 18:49:49";"2015-10-09 19:34:54";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1755938798;"IOM 6.0";35;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;6;;;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;95;;;;"TIENE BUENA COBERTURA";3;98;998;3;;"TIENE BUENOS PLANES";;2;"PORQUE NO LO CONOZCO MUCHO";5;4;"PORQUE TAMBIEN CUENTO CON INTERNET EN CASA Y YA NO ME SERVIRIAN MUCHO LOS MEGAS";5;5;5;5;5;5;5;5;5;"SE ME HACE MUY ATRACTIVO";5;5;5;5;5;5;5;5;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;2;2;1;;6;;9;2;2;5;3;2;9;"3 Telcel";1;;
5217;;3;;;;;;;17640;1;;;;;;;;;"1013gamaesteban111402";"2015-10-09 18:52:57";"2015-10-09 19:05:32";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1755751253;"IOM 6.0";35;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;6;;;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;95;;;;"POR QUE LE TENGO COMNFGIANBZA";15;98;998;97;;;"POR QUE NUNCA HE TENIDO PROBLEMA EN LAS TARIFAS";2;"POR QUE CASI NO UTILIZO EL TELEFONO POR ESO PREPAGO";4;2;"POR QUE SIEMPRE HE TENIDO TELECEL";2;2;2;4;4;2;2;3;2;"POR QUE SIEMPRE HE TENIDO TELCEL";4;3;3;4;4;3;4;4;9;7;7;9;7;7;7;7;7;9;7;7;9;7;7;7;7;9;9;5;2;96;"NO PROPORCIONO";96;"NO PROPORCIONO";14;3;99;5;3;99;9;"3 Telcel";1;;
5271;;3;;;;;;;17692;1;;;;;;;;;"1610canasgabriela101503";"2015-10-09 18:54:38";"2015-10-09 19:06:38";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1755649728;"IOM 6.0";33;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;6;;1;5;;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;95;;;;"TIENE UNA BUENA COBERTURA";2;98;998;5;;"POR LOS PLANES QUE MANEJA";;;;4;4;"DEPENDE DE LA SITUACION ECONOMICA";2;1;1;1;1;1;2;2;1;"POR QUE TODA MI FAMILIA USA TELCEL";2;2;5;1;2;3;1;1;6;9;6;6;6;6;9;6;6;6;9;7;6;6;6;6;6;7;6;2;2;1;;6;;9;1;6;2;1;16;1;"3 Telcel";1;;
5311;;3;;;;;;;17597;1;;;;;;;;;"3103lopezmegan";"2015-10-09 18:55:43";"2015-10-09 19:12:17";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1755585455;"IOM 6.0";36;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;5;;1;6;7;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;6;;"los anuncios que llegaban cada rato unos 20 al dia a mi celular como noticias y promciones";;"me gusta su servicio, donde quiera puedo agarrar señal y estoy a gusto";5;98;998;97;;;"donde quiera agarra señal";2;"me han dado muchas malas informaciones de ellos";5;1;"por lo que me han dicho, no agarra la señal en todas partes";1;2;2;1;1;1;5;1;1;"no hay nada que me guste, son los mismos beneficios en telcel";1;2;2;1;2;1;2;1;6;7;6;6;9;9;6;7;9;6;9;6;7;7;7;7;7;9;6;5;2;1;;1;;5;1;7;2;1;13;2;"3 Telcel";1;;
5328;;3;;;;;;;18247;1;;;;;;;;;"1613liamsantiago101503";"2015-10-09 18:56:12";"2015-10-09 19:23:36";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1755556065;"IOM 6.0";35;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;5;7;;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;95;;;;"costumbre";13;98;98;97;;;"llega buena atencion y tambien buena señal";1;"por si tiene buena señal y por que por las llamadas no cobran mucho";5;5;"mas señal, recibir llamadas";2;1;4;1;1;1;1;4;3;"por que no sabe de los equipos";1;1;1;1;1;1;1;4;8;8;7;6;7;7;8;9;8;9;6;7;7;6;9;7;7;8;9;5;2;2;;4;;5;2;3;0;2;3;4;"3 Telcel";1;;
5335;;3;;;;;;;30151;1;;;;;;;;;"1477leonardofatima061501";"2015-10-09 18:56:30";"2015-10-09 19:13:40";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1755537969;"IOM 6.0";35;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;5;6;7;8;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;95;;;;"PORQUE ME PARECE QUE ES LA MEJOR TANTO EN COBERTURA Y COMO EN PRECIO, PLANES Y PROMOCIONES";11;98;998;97;;;"POR LO MISMO EN CUANTO EL COSTO Y LAS PROMOCIONES Y LA COBERTURA QUE TIENE";2;"PORQUE NO ME GUSTA Y NO TIENE MUCHA COBERTURA";1;1;"POR LA COBERTURTA PORQUE OTROS COMPAÑEROS QUE TENIA NO AGARRABA EN ZONAS ALTAS Ó ZONAS DE ARBOLES Ó COMUNIDADES Y COMO YO VIAJO MUCHOS A COMUNIDADES NO ME ES UTIL";1;1;1;1;1;1;1;1;1;"NO ME INTERESA PORQUE ESTOY BIEN CON TELCEL TIENE MEJOR COBERTURA";1;1;1;1;1;1;1;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;5;2;1;;4;;9;2;2;1;1;3;4;"3 Telcel";1;;
5358;;3;;;;;;;22661;1;;;;;;;;;"1552pliegocarlos091501";"2015-10-09 18:57:35";"2015-10-09 19:23:25";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1755473447;"IOM 6.0";38;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;6;;;;;;;;;;;1;;96;;;;;;;;;;"telcel";1;;1;;;;;;;;;;2;1;;"siempre he tenido telcel";"siempre he tenido telcel";"poque se me facilita mas y otras cobran mas";6;98;998;3;;"poque es muy comun donde vivo";;2;"porque no es muy conocida y casi nadie la conoce donde vivo";2;1;"porque ya conosco losm beneficios que tengo y no veo caso cambiar";1;1;1;2;1;1;1;2;1;"porque me gusta micompañia y es ma s comun en donde vivo";1;1;1;1;1;1;1;1;9;9;8;8;9;6;6;8;7;6;6;6;8;6;6;6;9;6;8;2;2;1;;5;;9;1;8;2;1;16;1;"3 Telcel";1;;
5366;;3;;;;;;;18596;1;;;;;;;;;"1406llanosmoises061503";"2015-10-09 18:57:50";"2015-10-09 19:30:40";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1755457644;"IOM 6.0";35;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;5;6;;;;;;;;;;1;;95;;;;;;;;;;;;;1;;;;;;;;;;2;95;;;;"PUES NO HE TENIDO PROBLEMAS CON MI LINEA";4;98;998;97;;;"POR EL SERVICIO QUE ME HAN BRINDADO NO HABIDO DETALLES SIEMPRE HA SIDO BUENO.";2;"POR QUE NO SE COMO ESTE LA SITUACION EN CIUDAD DEL CARMEN EN CUANTO A LA COBERTURA";5;2;"POR QUE NO SE SI ME RESPETEN MI MISMO  NUMERO Y SI NO ME SI AFECTARIA CON MIS CONTACTOS QUE TENGO";3;3;3;3;3;3;3;3;2;"POR QUE NO CONOSCO LOS NEBEFICIO QUE ME DARIA IUSACELL Y LA COBERETURA";3;2;2;2;3;2;3;2;7;7;7;7;7;7;7;6;9;7;7;7;9;7;6;7;7;9;9;5;1;2;;1;;9;2;2;1;2;2;2;"3 Telcel";1;;
5378;;3;;;;;;;29348;1;;;;;;;;;"1523sanchezmario071504";"2015-10-09 18:58:26";"2015-10-09 19:19:58";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1755421997;"IOM 6.0";37;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;5;6;7;;;;;;;;;1;;6;;;;;;;;;;;1;;1;;;;;1;;;;;2;95;;;;"POR QUE LA MAYORIA DE MI FAMILIA TIENEN TELCEL.";5;0;0;6;;"POR QUE TIENE MEJORES PROMOCIONES COMO LLAMADAS, MENSAJES, Y REDES ILIMITADAS.";;1;"SI ME OFRECIERAN MEJORES PROMOCIONES SI.";3;4;"SI ME CONVIENE EN LAS LLAMADAS. DEPENDE DE COMO ME SALDRIA EL MINUTO A OTRAS COMPAÑIAS.";4;5;5;5;1;1;2;4;4;"POR QUE DEPENDE EL SERVICIO QUE ME DEN, EN COBERTURA Y LLAMADAS. DE CUANTO SALE EL MINUTO A DIFERENTES COMPAÑIAS Y LO DE LAS REDES SOCIALES ILIMITADAS";4;5;5;5;1;1;4;4;8;8;8;8;8;7;9;8;7;8;8;8;8;8;8;8;8;9;9;3;2;2;;4;;12;2;99;1;2;4;2;"3 Telcel";1;;
5393;;3;;;;;;;13535;1;;;;;;;;;"1158colinfrancisco111401";"2015-10-09 18:58:52";"2015-10-09 19:06:21";1;"fc263b94-9306-4caf-aa54-a3a3e085c596";3;;"Panta2";;-1755396039;"IOM 6.0";35;;-2147483581;-2147483581;-2147483581;;;;;;;;;;;;1;1;1;;7;;;;;;;;;;;1;;95;;;;;;;;;;;;;2;;;;;;;;;;2;95;;;;"por que agarra mas señal .";0;5;0;97;;;"por que aharra la señal mejor.";2;"por que no me guzta";4;1;"mo le intersa cambiar.";1;1;1;1;1;1;1;1;1;"por que no me guzta .";1;1;1;1;1;1;1;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;3;2;2;;4;;9;2;1;1;2;2;3;"3 Telcel";1;;
